,date,cbl,maxtp,mintp,rain,wdsp,Rain_Or_Not
110,2003-12-30,1004.2564787440092,13.629391977982776,5.97909892462159,2.129177921614548,10.163227313837787,1
111,2004-01-01,1005.0,7.7,4.0,0.5,10.163227313837787,1
112,2004-01-02,1015.1,5.8,2.4,5.6,10.163227313837787,1
113,2004-01-03,1013.8,8.9,2.5,2.7,10.163227313837787,1
114,2004-01-04,1012.7,9.6,2.0,0.1,10.163227313837787,1
115,2004-01-05,1005.3,12.6,8.3,0.1,10.163227313837787,1
116,2004-01-06,1003.6,10.0,4.9,1.9,10.163227313837787,1
117,2004-01-07,992.7,12.4,8.4,1.4,10.163227313837787,1
118,2004-01-08,978.7,10.0,5.1,12.5,10.163227313837787,1
119,2004-01-09,991.6,8.3,3.3,2.7,10.163227313837787,1
120,2004-01-10,993.3,12.2,7.4,5.6,10.163227313837787,1
121,2004-01-11,988.3,11.4,2.5,7.4,10.163227313837787,1
122,2004-01-12,981.7,8.8,3.7,2.0,10.163227313837787,1
123,2004-01-13,978.6,7.0,1.7,3.8,10.163227313837787,1
124,2004-01-14,991.7,4.2,0.5,0.0,10.163227313837787,0
125,2004-01-15,985.2,9.3,2.4,13.8,10.163227313837787,1
126,2004-01-16,985.1,6.1,1.5,0.5,10.163227313837787,1
127,2004-01-17,1005.5,4.9,-1.9,0.0,10.163227313837787,0
128,2004-01-18,1019.7,7.7,-1.3,0.0,10.163227313837787,0
129,2004-01-19,1014.5,10.6,7.3,0.0,10.163227313837787,0
130,2004-01-20,1014.0,9.1,7.5,0.1,10.163227313837787,1
131,2004-01-21,1011.2,9.6,7.1,0.0,10.163227313837787,0
132,2004-01-22,1003.8,11.9,4.1,0.5,10.163227313837787,1
133,2004-01-23,1004.4,11.1,3.2,3.2,10.163227313837787,1
134,2004-01-24,1010.0,7.8,2.1,0.1,10.163227313837787,1
135,2004-01-25,1006.6,6.3,-1.5,0.0,10.163227313837787,0
136,2004-01-26,1004.5,4.6,-1.4,9.8,10.163227313837787,1
137,2004-01-27,1007.2,3.2,-2.1,0.8,10.163227313837787,1
138,2004-01-28,1004.2,5.0,-3.2,0.6,10.163227313837787,1
139,2004-01-29,1005.3,3.6,-3.8,0.0,10.163227313837787,0
140,2004-01-30,993.6,10.1,3.4,1.3,10.163227313837787,1
141,2004-01-31,980.0,13.8,5.0,12.9,10.163227313837787,1
142,2004-02-01,995.2,10.9,5.3,2.1,10.163227313837787,1
143,2004-02-02,999.0,13.5,8.2,3.1,10.163227313837787,1
144,2004-02-03,1000.7,15.1,8.9,3.7,10.163227313837787,1
145,2004-02-04,1004.2,14.9,7.9,5.6,10.163227313837787,1
146,2004-02-05,1007.2,14.1,8.7,0.0,10.163227313837787,0
147,2004-02-06,1002.9,9.5,4.6,0.0,10.163227313837787,0
148,2004-02-07,1007.6,8.4,3.1,1.6,10.163227313837787,1
149,2004-02-08,1020.4,7.0,-2.5,0.0,10.163227313837787,0
150,2004-02-09,1027.8,8.2,-3.6,0.0,10.163227313837787,0
151,2004-02-10,1024.2,11.3,6.8,0.0,10.163227313837787,0
152,2004-02-11,1026.2,12.8,3.4,0.0,10.163227313837787,0
153,2004-02-12,1025.2,11.4,-0.7,0.0,10.163227313837787,0
154,2004-02-13,1026.5,10.5,2.2,1.1,10.163227313837787,1
155,2004-02-14,1024.8,9.8,-1.7,0.0,10.163227313837787,0
156,2004-02-15,1023.0,9.6,0.5,0.0,10.163227313837787,0
157,2004-02-16,1024.3,10.1,0.6,0.3,10.163227313837787,1
158,2004-02-17,1028.2,8.9,0.1,0.0,10.163227313837787,0
159,2004-02-18,1028.9,9.6,-3.5,0.0,10.163227313837787,0
160,2004-02-19,1026.2,8.2,-3.1,0.0,10.163227313837787,0
161,2004-02-20,1019.3,6.8,3.3,0.0,10.163227313837787,0
162,2004-02-21,1014.2,6.1,2.8,0.0,10.163227313837787,0
163,2004-02-22,1019.0,6.6,-0.9,0.0,10.163227313837787,0
164,2004-02-23,1021.1,6.3,-3.1,0.0,10.163227313837787,0
165,2004-02-24,1013.9,7.8,0.4,2.6,10.163227313837787,1
166,2004-02-25,1010.7,5.4,-2.0,0.0,10.163227313837787,0
167,2004-02-26,1004.8,4.3,-3.2,0.1,10.163227313837787,1
168,2004-02-27,1002.8,4.9,-2.9,0.0,10.163227313837787,0
169,2004-02-28,1009.3,5.8,-4.2,0.0,10.163227313837787,0
170,2004-02-29,1020.4,7.0,-4.9,0.0,10.163227313837787,0
171,2004-03-01,1028.2,9.0,-5.0,0.0,10.163227313837787,0
172,2004-03-02,1023.2,8.6,-4.5,0.0,10.163227313837787,0
173,2004-03-03,1013.2,11.0,2.2,4.3,10.163227313837787,1
174,2004-03-04,1012.2,13.0,0.8,1.0,10.163227313837787,1
175,2004-03-05,1015.4,10.9,1.6,0.0,10.163227313837787,0
176,2004-03-06,1019.5,11.1,0.0,0.8,10.163227313837787,1
177,2004-03-07,1024.7,10.6,-0.3,0.1,10.163227313837787,1
178,2004-03-08,1029.6,9.7,-1.4,0.0,10.163227313837787,0
179,2004-03-09,1028.9,8.1,-3.3,0.0,10.163227313837787,0
180,2004-03-10,1020.7,5.6,2.7,0.0,10.163227313837787,0
181,2004-03-11,1004.7,4.2,1.7,3.0,10.163227313837787,1
182,2004-03-12,994.6,8.7,2.2,3.7,10.163227313837787,1
183,2004-03-13,997.5,10.4,0.4,1.6,10.163227313837787,1
184,2004-03-14,998.0,13.0,5.1,3.7,10.163227313837787,1
185,2004-03-15,1007.3,16.9,7.7,1.2,10.163227313837787,1
186,2004-03-16,1008.9,14.6,9.2,2.6,10.163227313837787,1
187,2004-03-17,1014.4,14.7,6.5,0.0,10.163227313837787,0
188,2004-03-18,1008.5,11.5,5.6,1.4,10.163227313837787,1
189,2004-03-19,993.5,11.3,5.3,4.3,10.163227313837787,1
190,2004-03-20,989.0,13.8,3.6,5.3,10.163227313837787,1
191,2004-03-21,996.7,11.2,3.6,2.0,10.163227313837787,1
192,2004-03-22,1008.8,9.6,2.3,3.2,10.163227313837787,1
193,2004-03-23,1017.8,9.9,0.5,1.0,10.163227313837787,1
194,2004-03-24,1024.0,10.7,-0.5,0.0,10.163227313837787,0
195,2004-03-25,1020.8,10.8,4.8,0.1,10.163227313837787,1
196,2004-03-26,1019.8,11.0,4.3,0.0,10.163227313837787,0
197,2004-03-27,1012.3,10.3,7.4,0.0,10.163227313837787,0
198,2004-03-28,1010.8,12.5,5.3,0.1,10.163227313837787,1
199,2004-03-29,1015.0,11.9,4.3,0.0,10.163227313837787,0
200,2004-03-30,1009.4,12.1,3.8,0.0,10.163227313837787,0
201,2004-03-31,1000.8,14.4,3.8,1.8,10.163227313837787,1
202,2004-04-01,994.6,13.2,8.3,3.7,10.163227313837787,1
203,2004-04-02,994.3,13.8,6.8,0.5,10.163227313837787,1
204,2004-04-03,996.6,12.9,5.2,2.0,10.163227313837787,1
205,2004-04-04,1003.3,11.1,3.8,2.4,10.163227313837787,1
206,2004-04-05,1006.4,11.7,3.8,1.6,10.163227313837787,1
207,2004-04-06,1008.5,11.3,3.8,0.2,10.163227313837787,1
208,2004-04-07,1015.0,11.9,1.9,0.0,10.163227313837787,0
209,2004-04-08,1016.9,10.4,0.4,0.9,10.163227313837787,1
210,2004-04-09,1014.8,13.1,7.8,2.7,10.163227313837787,1
211,2004-04-10,1015.7,12.1,6.7,0.9,10.163227313837787,1
212,2004-04-11,1018.4,11.5,5.7,0.0,10.163227313837787,0
213,2004-04-12,1021.6,13.3,4.8,0.1,10.163227313837787,1
214,2004-04-13,1018.5,11.3,3.7,0.3,10.163227313837787,1
215,2004-04-14,1008.2,14.3,9.4,0.0,10.163227313837787,0
216,2004-04-15,1002.2,12.4,5.2,7.1,10.163227313837787,1
217,2004-04-16,1003.8,12.1,1.3,0.1,10.163227313837787,1
218,2004-04-17,989.4,9.1,1.1,2.4,10.163227313837787,1
219,2004-04-18,976.5,10.8,2.3,2.0,10.163227313837787,1
220,2004-04-19,983.1,14.3,0.8,3.5,10.163227313837787,1
221,2004-04-20,988.5,11.4,3.4,0.5,10.163227313837787,1
222,2004-04-21,992.5,15.8,7.5,3.1,10.163227313837787,1
223,2004-04-22,1007.2,14.9,5.7,0.1,10.163227313837787,1
224,2004-04-23,1016.3,18.2,9.7,0.0,10.163227313837787,0
225,2004-04-24,1019.2,18.8,7.6,0.0,10.163227313837787,0
226,2004-04-25,1019.2,16.0,5.1,0.0,10.163227313837787,0
